,goods,price,image,deal,name,location
10,RIO锐澳微醺小美好加量不加价330ml*12洋酒预调鸡尾酒,72.00元,https://g.alicdn.com/s.gif,300+人付款,够实汇超市,上海
11,【直营】日本进口 三得利和乐怡HOROYOI预调气泡鸡尾酒350ml*10听,200.00元,https://g.alicdn.com/s.gif,100+人付款,天猫国际进口超市,浙江 杭州
12,动力火车酒鸡尾酒套装洋酒基酒混合300ml*24瓶装整箱苏打酒正品,248.00元,https://g.alicdn.com/s.gif,200+人付款,动力火车酒类旗舰店,广东 广州
13,日本原装进口三得利和乐怡缤纷6罐350mL低度网红果酒预调鸡尾酒,48.00元,https://g.alicdn.com/s.gif,1000+人付款,三得利预调酒官方旗舰店,上海
14,【直营】日本进口 三得利和乐怡HOROYOI预调鸡尾酒6口味350ml*6听,99.00元,https://g.alicdn.com/s.gif,100+人付款,天猫国际进口超市,浙江 杭州
15,Fourloko四洛克酒进口预调鸡尾酒果味酒派对网红微醺特调酒4瓶装,156.00元,https://g.alicdn.com/s.gif,300+人付款,fourloko旗舰店,上海
16,rio微醺预调鸡尾酒气泡酒锐澳微醺鸡尾酒rio锐澳整箱20罐*330ml,169.40元,https://g.alicdn.com/s.gif,300+人付款,归昕酒类专营店,上海
17,RIO锐澳预调鸡尾酒微醺草莓乳酸菌伏特加口味330ml*24罐整箱果酒,36.00元,https://g.alicdn.com/s.gif,100+人付款,玉杞儿酒类专营店,陕西 西安
18,【百威浮起茶酒】预调鸡尾酒起泡酒低卡女士微醺气泡酒甜果酒3罐,39.90元,https://g.alicdn.com/s.gif,1万+人付款,浮起旗舰店,湖北 武汉
19,RIO锐澳微醺联名rico预调鸡尾酒330ml*20罐洋气泡酒果酒少女饮料,160.20元,https://g.alicdn.com/s.gif,300+人付款,薇风阁食品专营店,上海
20,RIO锐澳微醺联名rico预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,30.00元,https://g.alicdn.com/s.gif,1000+人付款,薇风阁食品专营店,上海
21,fourloko四洛克预调鸡尾酒新品墨西哥进口网红高度水果味酒一瓶装,29.70元,https://g.alicdn.com/s.gif,800+人付款,fourloko旗舰店,上海
22,女神节rio锐澳微醺清爽330ml*6微醺小美好气泡鸡尾酒少女果酒整箱,57.00元,https://g.alicdn.com/s.gif,1000+人付款,杨之甘录,上海
23,日本三得利和乐怡微醺SUNTORY白桃限定凤梨果酒ほろい草莓鸡尾酒,66.00元,https://g.alicdn.com/s.gif,500+人付款,国际正品全球购总店,广东 深圳
24,RIO锐澳微醺3口味洋酒预调鸡尾酒330ml×3罐,40.00元,https://g.alicdn.com/s.gif,600+人付款,够实汇超市,上海
25,RIO锐澳预调鸡尾酒8度强爽白桃味8罐套装高度果味酒低度洋酒整箱,40.00元,https://g.alicdn.com/s.gif,800+人付款,锐澳师捷专卖店,上海
26,动力火车酒鸡尾酒套装苏打酒混合口味300ml*12瓶装3.5度微醺整箱,128.00元,https://g.alicdn.com/s.gif,300+人付款,动力火车酒类旗舰店,广东 广州
27,【4罐新品尝鲜】大于等于九预调气泡酒0脂微醺鸡尾酒4口味甜果酒,49.00元,https://g.alicdn.com/s.gif,1000+人付款,大于等于九旗舰店,山东 青岛
28,RIO锐澳微醺联名rico预调鸡尾酒330ml*20罐洋气泡酒果酒少女饮料,160.20元,https://g.alicdn.com/s.gif,200+人付款,石洱食品专营店,上海
29,初气网红硬苏打预调鸡尾酒网红气泡酒微醺少女感白桃果味酒4瓶装,63.80元,https://g.alicdn.com/s.gif,6人付款,来伊份官方旗舰店,上海
30,美国动力火车24瓶苏打酒整箱装275ml低度网红预调酒吧清爽鸡尾酒,182.00元,https://g.alicdn.com/s.gif,100+人付款,龙远商贸1912,山东 济南
31,满减 初气网红硬苏打预调鸡尾酒网红气泡酒微醺少女感白桃果味酒,26.00元,https://g.alicdn.com/s.gif,3人付款,来伊份官方旗舰店,上海
32,彼得美德咖啡酒甜型红葡萄酒750ml红酒瓶装进口鸡尾酒德国正品,188.10元,https://g.alicdn.com/s.gif,1人付款,天猫国际进口超市国内现货,上海
33,乌克兰Creamel凯利梅尔草莓味鸡尾酒200ml 奶油酒果酒女士进口,28.00元,https://g.alicdn.com/s.gif,0人付款,天猫国际进口超市国内现货,上海
34,Blue Dash布鲁大师15度微醺零糖青瓜风味利口酒1瓶装少女甜酒,138.00元,https://g.alicdn.com/s.gif,200+人付款,bluedash旗舰店,上海
35,空卡苏打酒气泡酒低糖果酒低度预调酒鸡尾酒微醺350ml*6瓶装,99.90元,https://g.alicdn.com/s.gif,500+人付款,空卡旗舰店,浙江 杭州
36,(RiCO潮玩联名）RIO锐澳桃花米酿鸡尾酒气泡鸡尾酒少女果酒整箱,60.00元,https://g.alicdn.com/s.gif,800+人付款,归昕酒类专营店,上海
37,RIO锐澳微醺鸡尾酒预调鸡尾酒330ml*10罐气泡果味酒低度少女士酒,64.40元,https://g.alicdn.com/s.gif,700+人付款,rio锐澳韦堃专卖店,上海
38,杰克丹尼 威士忌 预调酒 柠檬味苹果味可乐味6瓶装正品鸡尾酒前红,62.00元,https://g.alicdn.com/s.gif,400+人付款,上海前红酒业,上海
39,空卡苏打酒气泡酒低糖果味果酒低度预调酒鸡尾酒微醺350ml*12瓶装,199.90元,https://g.alicdn.com/s.gif,100+人付款,空卡旗舰店,浙江 杭州
40,动力火车六种口味酒吧预调酒鸡尾酒300ml整箱24瓶特价促销,153.00元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/924410035/O1CN01OvRofY1C84bG0WffZ_!!924410035.png_580x580Q90.jpg,6人付款,丹丹酒水网购店,上海
41,RIO锐澳微醺鸡尾酒预调鸡尾酒330ml*24罐气泡果味酒低度少女士酒,159.00元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2200606314837/O1CN01pvt5sh1lbOVYkm8Xx_!!0-item_pic.jpg_580x580Q90.jpg,100+人付款,恒谦酒类专营店,上海
42,女神节酒礼盒情人节锐澳RIO微醺鸡尾预调气泡强爽女生果酒整箱,34.00元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/3581934542/O1CN01ZvTOzV1jQHg2FTSv9_!!0-item_pic.jpg_580x580Q90.jpg,700+人付款,杨之甘录,上海
43,RIO锐澳鸡尾酒罐装330ml*24罐3度微醺六口味组合装低度果酒预调酒,138.80元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/694732853/O1CN01J7YBOU1WwiiNJJpyo_!!694732853.jpg_580x580Q90.jpg,100+人付款,白石挖宝,江苏 镇江
44,上海costco美国Kirkland科克兰金色玛格丽特配制酒鸡尾酒1.75L,75.90元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/3243447409/O1CN018tfFwM24bN4eOO1Pl_!!3243447409.jpg_580x580Q90.jpg,500+人付款,易海购美国代购直邮,上海
45,WAT微醺起泡酒 网红鸡尾酒 果酒女士晚安酒乳酸菌绿茶冻柠6罐装,70.80元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2210784930900/O1CN01eOJrPl1IWFCq0P0qq_!!0-item_pic.jpg_580x580Q90.jpg,3000+人付款,watisgood旗舰店,上海
46,RIO锐澳微醺联名Rio预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,60.20元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2213205951220/O1CN01FZrTUP1KsnwVCjTgo_!!0-item_pic.jpg_580x580Q90.jpg,500+人付款,石洱食品专营店,上海
47,Rekorderlig cider瑞可德林西打酒果酒瓶装女士低度甜酒鸡尾酒6瓶,149.00元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2775546673/O1CN01Fbwcxn1zAHgT7Uh7q_!!0-item_pic.jpg_580x580Q90.jpg,200+人付款,rekorderlig旗舰店,上海
48,上海costco美国Kirkland科克兰金色玛格丽特配制酒鸡尾酒1.75L,75.90元,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/3243447409/O1CN018tfFwM24bN4eOO1Pl_!!3243447409.jpg_580x580Q90.jpg_.webp,500+人付款,易海购美国代购直邮,上海
49,WAT微醺起泡酒 网红鸡尾酒 果酒女士晚安酒乳酸菌绿茶冻柠6罐装,70.80元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2210784930900/O1CN01eOJrPl1IWFCq0P0qq_!!0-item_pic.jpg_580x580Q90.jpg_.webp,3000+人付款,watisgood旗舰店,上海
50,RIO锐澳微醺联名Rio预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,60.20元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2213205951220/O1CN01FZrTUP1KsnwVCjTgo_!!0-item_pic.jpg_580x580Q90.jpg_.webp,500+人付款,石洱食品专营店,上海
51,Rekorderlig cider瑞可德林西打酒果酒瓶装女士低度甜酒鸡尾酒6瓶,149.00元,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2775546673/O1CN01Fbwcxn1zAHgT7Uh7q_!!0-item_pic.jpg_580x580Q90.jpg_.webp,200+人付款,rekorderlig旗舰店,上海
52,RIO锐澳预调鸡尾酒8度强爽rio微醺瓶装樱花限定330ml*8罐正品整箱,59.40元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2206482797585/O1CN01V9qWzr25tytf5iSD1_!!0-item_pic.jpg_580x580Q90.jpg_.webp,300+人付款,rio锐澳韦堃专卖店,上海
53,ROL预调鸡尾酒锐奥滋微醺少女果酒洋酒低度酒275ml*6瓶一箱混合装,28.80元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/871381896/O1CN01eVcsQ41PsPZAlV1Cc_!!871381896.jpg_580x580Q90.jpg_.webp,700+人付款,吴金贤528,广东 揭阳
54,日本进口 三得利HOROYOI和乐怡白桃乳冰柠茶味凤梨鸡尾酒果酒礼物,54.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2211109691043/O1CN01U7zYCs1JZjq5NsmY8_!!2211109691043.jpg_580x580Q90.jpg_.webp,100+人付款,tb041044830,上海
55,RIO锐澳鸡尾酒乳酸菌伏特加风味330ml*6罐3度微醺系列预调酒果酒,36.80元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/694732853/O1CN01yAWktR1WwifBw8Rbu_!!694732853.jpg_580x580Q90.jpg_.webp,400+人付款,白石挖宝,江苏 镇江
56,鸡尾酒整箱24瓶装 女士低度水果味酒套装甜酒套餐 预调酒,49.90元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/869290303/O1CN011E6oSqHk1WUV7Tu_!!869290303.jpg_580x580Q90.jpg_.webp,100+人付款,筱燕儿呦呦,河北 秦皇岛
57,【RiCO联名限定】RIO锐澳预调鸡尾酒微醺3度7口味组合330mL*10罐,99.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1761481772/O1CN01UnrNNB1OxcZfHV7nR_!!0-item_pic.jpg_580x580Q90.jpg_.webp,2万+人付款,rio锐澳旗舰店,上海
58,RIO锐澳预调鸡尾酒强爽8度330ml*8罐白桃味气泡酒果酒伏特加基酒,72.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1761481772/O1CN01wgV6YR1OxcZU9Myt4_!!0-item_pic.jpg_580x580Q90.jpg_.webp,3000+人付款,rio锐澳旗舰店,上海
59,RIO锐澳3度微醺7口味330ml*8罐洋酒预调鸡尾酒套装,104.00元,https://g-search2.alicdn.com/img/bao/uploaded/i4/i2/6000000005092/O1CN01HYYBbL1nUBVg0AqhA_!!6000000005092-0-picassoopen.jpg_580x580Q90.jpg_.webp,1000+人付款,天猫超市,上海
60,RIO锐澳经典6口味275ml*6果酒洋酒预调鸡尾酒整箱预调酒,140.00元,https://g.alicdn.com/s.gif,500+人付款,天猫超市,上海
61,RIO锐澳微醺果味大满贯果酒洋酒预调鸡尾酒330ml×10预调酒,99.00元,https://g.alicdn.com/s.gif,1000+人付款,天猫超市,上海
62,RIO锐澳清爽加量不加价礼盒330ml*12洋酒预调鸡尾酒,168.00元,https://g.alicdn.com/s.gif,300+人付款,天猫超市,上海
63,【现货】三得利和乐怡HOROYOI日本进口鸡尾酒6口味全家福350ml*6,99.00元,https://g.alicdn.com/s.gif,300+人付款,天猫超市,上海
64,【直营】日本进口 三得利和乐怡鸡尾酒白桃味350mL*6罐果酒日本酒,99.00元,https://g.alicdn.com/s.gif,60人付款,天猫国际进口超市,浙江 杭州
65,Fourloko四洛克酒预调鸡尾酒美国进口微醺特调酒果味网红酒2瓶装,78.00元,https://g.alicdn.com/s.gif,700+人付款,fourloko旗舰店,上海
66,Fourloko四洛克酒预调鸡尾酒果酒梅子酒进口特调洋酒烈酒十罐装,390.00元,https://g.alicdn.com/s.gif,100+人付款,fourloko旗舰店,上海
67,【直营】日本进口三得利和乐怡气乐酒场柠檬沙瓦味350mL*6罐果酒,99.00元,https://g.alicdn.com/s.gif,45人付款,天猫国际进口超市,浙江 杭州
68,RIO锐澳3.8度经典6口味275ml*6罐果酒洋酒预调鸡尾酒整箱预调酒,89.00元,https://g.alicdn.com/s.gif,20人付款,够实汇超市,上海
69,RIO锐澳3度微醺7口味330ml*8罐果酒洋酒预调鸡尾酒,60.00元,https://g.alicdn.com/s.gif,12人付款,够实汇超市,上海
70,RIO锐澳微醺预调鸡尾酒rio微醺锐澳瓶装洋酒果酒275ml*24罐整箱,111.40元,https://g.alicdn.com/s.gif,200+人付款,圆兔食品专营店,上海
71,Creamel凯利梅尔太妃味朗姆预调酒鸡尾酒200ml乌克兰进口女士果酒,28.00元,https://g.alicdn.com/s.gif,0人付款,天猫国际进口超市国内现货,上海
72,乌克兰Creamel凯利梅尔蜜瓜味朗姆预调酒鸡尾酒200ml奶油酒女士,28.00元,https://g.alicdn.com/s.gif,0人付款,天猫国际进口超市国内现货,上海
73,动力火车鸡尾酒预调酒基酒套装洋酒诱惑300ml*24瓶装整箱苏打酒,248.00元,https://g.alicdn.com/s.gif,85人付款,动力火车酒类旗舰店,广东 广州
74,RIO锐澳微醺联名rico预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,37.50元,https://g.alicdn.com/s.gif,400+人付款,石洱食品专营店,上海
75,日本三得利和乐怡网红低度预调鸡尾酒 全家福7口味350mL*12罐装,190.00元,https://g.alicdn.com/s.gif,200+人付款,三得利预调酒官方旗舰店,上海
76,RIO锐澳微醺预调鸡尾酒330ml*20罐rio清爽低度气泡水果酒洋酒整箱,71.20元,https://g.alicdn.com/s.gif,200+人付款,圆兔食品专营店,上海
77,RIO锐澳经典预调鸡尾酒275ml瓶装果酒六种口味,258.00元,https://g.alicdn.com/s.gif,30人付款,瓦伦丁进口啤酒,北京
78,【推荐】WAT小方瓶预调鸡尾酒 威士忌低度酒晚安酒果味女生酒x3瓶,145.00元,https://g.alicdn.com/s.gif,100+人付款,watisgood旗舰店,上海
79,Blue Dash布鲁大师15度微醺零糖青瓜风味利口酒2瓶装少女甜酒,276.00元,https://g.alicdn.com/s.gif,55人付款,bluedash旗舰店,上海
80,新日期 欧曼莎鸡尾酒鸡尾酒预调RTO鸡尾酒275ml*24瓶整箱京东快递,98.00元,https://g.alicdn.com/s.gif,100+人付款,爱优喂真好吃,河北 秦皇岛
81,RIO锐澳微醺乳酸菌全系列小美好330ml低度气泡鸡尾酒少女果酒整箱,54.00元,https://g.alicdn.com/s.gif,500+人付款,归昕酒类专营店,上海
82,鸡尾酒整箱24瓶套装女士饮料预调果酒洋酒低度酒学生水果味酒正品,89.80元,https://g.alicdn.com/s.gif,47人付款,定成酒水经营部,四川 泸州
83,和乐怡HOROYOI三得利日本进口低度微醺预调酒鸡尾酒果酒白桃350ml,65.00元,https://g.alicdn.com/s.gif,100+人付款,众酉酒类专营店,上海
84,FOUR LOKO美国进口四洛克预调鸡尾酒695ml水蜜桃西瓜柑橘草莓柠檬,39.00元,https://g.alicdn.com/s.gif,300+人付款,513894747yy,上海
85,RIO锐澳鸡尾酒3度微熏系列330ml细罐10种口味可选洋酒预调鸡尾酒,34.80元,https://g.alicdn.com/s.gif,500+人付款,tb589734491,江苏 南京
86,日本进口三得利和乐怡缤纷6口味350ml*6罐果酒预调鸡尾酒组合装,95.00元,https://g.alicdn.com/s.gif,1000+人付款,三得利预调酒官方旗舰店,上海
87,RIO锐澳鸡尾酒劲爽无糖气泡酒零度强爽9度8度鸡尾酒果酒年货强爽,65.60元,https://g.alicdn.com/s.gif,100+人付款,归昕酒类专营店,上海
88,24瓶装伏特加预调鸡尾酒低度水果味酒套餐光瓶整箱低价包邮,56.60元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2529603409/O1CN01o72N8x1b3MkB4XiVN_!!2529603409.jpg_580x580Q90.jpg_.webp,89人付款,正品良心酒,河北 秦皇岛
89,动力火车苏打酒鸡尾酒洋酒套装混合300ml*6瓶装整箱低度酒正品,65.00元,https://picasso.alicdn.com/imgextra/O1CNA10zFbsi1GVD517OzOV_!!2201297390627-0-psf.jpg_580x580Q90.jpg_.webp,200+人付款,动力火车酒类旗舰店,广东 广州
90,网红24瓶装微醺饮料鸡尾酒青少年女士果酒各式酒水白橙糖微型气,109.60元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/871381896/O1CN01w3LY4G1PsPZAnV0q9_!!871381896.jpg_580x580Q90.jpg_.webp,100+人付款,吴金贤528,广东 揭阳
91,锐澳RIO微醺玫瑰荔枝口味洋酒预调酒鸡尾酒330ml*6 多罐组合装,43.00元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/3581934542/O1CN01bRX0591jQHg4v96LY_!!0-item_pic.jpg_580x580Q90.jpg_.webp,600+人付款,杨之甘录,上海
92,美国动力诱惑型火车极度尖叫苏打酒鸡尾酒24瓶整箱拍2发3动力火车,198.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/59467291/O1CN01gJaJNC23jKQkb8w7q_!!59467291.jpg_580x580Q90.jpg_.webp,23人付款,_燕子窝_,天津
93,RIO锐澳微醺预调鸡尾酒275ml*24瓶鸡尾酒(整箱可拼口味)水果酒,245.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/3230001916/O1CN01Ntycws1Q1ZYrp9ZXH_!!3230001916.jpg_580x580Q90.jpg_.webp,36人付款,正序酒业,上海
94,淡真0糖0脂果味苏打气泡酒3度果酒微醺鸡尾酒低度女士酒330ml*12,99.60元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2211621531849/O1CN01AUp7jl1PWt4MTLqnm_!!0-item_pic.jpg_580x580Q90.jpg_.webp,600+人付款,淡真旗舰店,浙江 嘉兴
95,美国动力火车24瓶整箱苏打酒果酒预调酒低度清爽鸡尾酒正品包邮,182.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1990706893/O1CN01zyQGBi20n2mm9Uwth_!!1990706893.jpg_580x580Q90.jpg_.webp,86人付款,龙远商贸1912,山东 济南
96,空卡苏打酒气泡酒低糖果酒低度预调酒鸡尾酒微醺350ml*24瓶装,369.90元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2209943362464/O1CN01BSJCVw1U4YeISzsaM_!!0-item_pic.jpg_580x580Q90.jpg_.webp,37人付款,空卡旗舰店,浙江 杭州
97,瓶叮咚酒酒遛自调鸡尾酒果味酒微醺女酒低度甜酒网红酒礼盒,139.00元,https://picasso.alicdn.com/imgextra/O1CNA1mDWLzI2NgOEXmfpWk_!!2212806289992-0-psf.jpg_580x580Q90.jpg_.webp,89人付款,瓶叮咚旗舰店,广东 东莞
98,RIO锐澳微醺鸡尾酒预调鸡尾酒330ml*8罐整箱气泡果味低度少女士酒,61.40元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2206482797585/O1CN01P4nehQ25tytq2hyr7_!!0-item_pic.jpg_580x580Q90.jpg_.webp,200+人付款,rio锐澳韦堃专卖店,上海
99,RIO锐澳微醺小美好新年新口味微醺鸡尾酒果酒预调酒正品整箱330ml,54.00元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/2209443060491/O1CN01bb0R1Y1FUvCw3XErU_!!0-item_pic.jpg_580x580Q90.jpg_.webp,300+人付款,尚瑞食品专营店,江苏 苏州
100,RIO锐澳微醺联名rico预调鸡尾酒330ml*8罐气泡果味酒低度少女士酒,37.50元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2213240159969/O1CN01tmJEMG2NVr7izRmNh_!!0-item_pic.jpg_580x580Q90.jpg_.webp,200+人付款,薇风阁食品专营店,上海
101,ROL锐奥滋鸡尾酒预调洋酒果酒甜酒女生低度3.8度瓶装 275ml24整箱,29.80元,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/1920778493/O1CN0127LgxX2CbqVCtf2x0_!!1920778493.jpg_580x580Q90.jpg_.webp,300+人付款,宋凤锐,河南 郑州
102,RIO锐澳预调鸡尾酒强爽zero9度0糖健身组合装500ml*6罐微醺果味酒,81.40元,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2212130209313/O1CN01eQ7I2l2IfPIcwHOAD_!!0-item_pic.jpg_580x580Q90.jpg_.webp,97人付款,锐澳长庆和专卖店,陕西 西安
103,杰克丹尼Jack预调鸡尾酒威士忌可乐柠檬苹果味女士微醺330ml*6瓶,75.00元,https://picasso.alicdn.com/imgextra/O1CNA1ZAejNc1g3tSc4yIIH_!!3861224087-0-psf.jpg_580x580Q90.jpg_.webp,100+人付款,盛卫酒类专营店,上海
104,【RiCO联名限定】RIO锐澳预调鸡尾酒微醺3度桃花米酿低度气泡果酒,47.00元,https://g.alicdn.com/s.gif,300+人付款,锐澳长庆和专卖店,陕西 西安
105,rio微醺预调鸡尾酒气泡酒鸡尾酒rio锐澳整箱20罐*330ml,130.00元,https://g.alicdn.com/s.gif,43人付款,杨之甘录,上海
106,动力火车鸡尾酒套装苏打酒混合口味300ml*24瓶装特价促销整箱美国,155.00元,https://g.alicdn.com/s.gif,18人付款,上海齐弧实业有限公司,上海
107,rio鸡尾酒锐澳微醺酒果味酒锐欧整箱24罐瑞奥微熏预调酒饮料 仙醇,125.00元,https://g.alicdn.com/s.gif,53人付款,仙醇食品专营店,上海
108,科克兰金色玛格丽特配制酒鸡尾酒洋酒1.75L 上海Costco代购开市客,68.50元,https://g.alicdn.com/s.gif,100+人付款,美味兔进口食品特卖,上海
109,【RiCO联名限定】rio锐澳鸡尾酒果酒微醺桃花米酿风味330ml整箱,54.00元,https://g.alicdn.com/s.gif,300+人付款,昌盛德商贸,陕西 西安
110,RIO锐澳预调鸡尾酒微醺小美好3度330ml*6罐喵喵酒低度酒果酒洋酒,59.00元,https://g.alicdn.com/s.gif,3000+人付款,rio锐澳旗舰店,上海
111,【和路雪联名】RIO锐澳鸡尾酒预调酒微醺7口味330ml*10罐果酒,99.00元,https://g.alicdn.com/s.gif,1000+人付款,rio锐澳旗舰店,上海
112,【进口】fourloko四洛克预调鸡尾酒水蜜桃+草莓柠檬695ml两罐装,78.00元,https://g.alicdn.com/s.gif,200+人付款,天猫超市,上海
113,RIO锐澳小美好加量不加价330ml*12,99.00元,https://g.alicdn.com/s.gif,500+人付款,天猫超市,上海
114,RIO锐澳3度微醺5口味330ml*16果酒洋酒预调鸡尾酒量贩装整箱,158.60元,https://g.alicdn.com/s.gif,200+人付款,天猫超市,上海
115,RIO锐澳微醺系列7口味330ml*24果酒洋酒预调鸡尾酒,269.00元,https://g.alicdn.com/s.gif,66人付款,天猫超市,上海
116,RIO锐澳3.8度经典6口味275ml*12果酒洋酒预调鸡尾酒量贩装预调酒,178.00元,https://g.alicdn.com/s.gif,80人付款,天猫超市,上海
117,【直营】日本进口 三得利和乐怡HOROYOI洋酒预调鸡尾酒350ml*6听,99.00元,https://g.alicdn.com/s.gif,23人付款,天猫国际进口超市,浙江 杭州
118,【直营】日本进口和乐怡HOROYOI预调鸡尾酒乳饮料味350ml*6罐果酒,99.00元,https://g.alicdn.com/s.gif,22人付款,天猫国际进口超市,浙江 杭州
119,【百亿补贴】RIO锐澳清爽洋酒预调鸡尾酒330ml*10罐,58.80元,https://g.alicdn.com/s.gif,13人付款,够实汇超市,上海
120,可口可乐柠檬道日式柠檬气泡酒招牌柠檬配制酒330ml*6罐,59.90元,https://g.alicdn.com/s.gif,2人付款,够实汇超市,上海
121,乌克兰Creamel凯利梅尔桃子味朗姆预调酒鸡尾酒200ml果酒奶油酒,28.00元,https://g.alicdn.com/s.gif,0人付款,天猫国际进口超市国内现货,上海
122,彼得美德冰沛椰子味配制酒葡萄酒750ml鸡尾酒预调酒水德国正品,89.10元,https://g.alicdn.com/s.gif,1人付款,天猫国际进口超市国内现货,上海
123,RIO锐澳微醺预调鸡尾酒8度强爽330ml*8罐气泡果味酒低度少女士酒,79.60元,https://g.alicdn.com/s.gif,300+人付款,圆兔食品专营店,上海
124,fourloko四洛克美国原装进口预调鸡尾酒果酒配制酒斯洛克酒六罐装,234.00元,https://g.alicdn.com/s.gif,69人付款,fourloko旗舰店,上海
